id,line_id,tx1_id,tx1_lat,tx1_lon,tx1_alt,tx2_id,tx2_lat,tx2_lon,tx2_alt,rx1_id,rx1_lat,rx1_lon,rx1_alt,rx2_id,rx2_lat,rx2_lon,rx2_alt,timestamp,array_type,symmetry,stacks,input_current,contact_resistance,apparent_resistivity,apparent_resistivity_err,chargeability,chargeability_err,decay_curve,qc_review
line-a-r00001,line-a,line-a-e01,33.1996481,-116.1551345,180.0,line-a-e02,33.1998075,-116.1549449,180.0,line-a-e03,33.1999669,-116.1547554,180.0,line-a-e04,33.2001263,-116.1545658,180.0,2026-08-17T14:00:12Z,dipole-dipole,1,6,1.019,784.8,207.233,8.444,0.00650,0.00101,0.01019;0.01071;0.00838;0.00848;0.00789;0.00629;0.00525;0.00445;0.00290;0.00219,
line-a-r00002,line-a,line-a-e01,33.1996481,-116.1551345,180.0,line-a-e02,33.1998075,-116.1549449,180.0,line-a-e03,33.1999669,-116.1547554,180.0,line-a-e04,33.2001263,-116.1545658,180.0,2026-08-17T14:00:24Z,dipole-dipole,1,5,0.987,810.6,209.253,6.960,0.00407,0.00104,0.00684;0.00642;0.00559;0.00509;0.00402;0.00402;0.00317;0.00281;0.00191;0.00142,
line-a-r00003,line-a,line-a-e01,33.1996481,-116.1551345,180.0,line-a-e02,33.1998075,-116.1549449,180.0,line-a-e03,33.1999669,-116.1547554,180.0,line-a-e04,33.2001263,-116.1545658,180.0,2026-08-17T14:00:36Z,dipole-dipole,1,4,0.717,1116.3,203.616,7.083,0.00698,0.00094,0.01150;0.01065;0.01029;0.00902;0.00763;0.00593;0.00541;0.00421;0.00320;0.00246,
line-a-r00004,line-a,line-a-e01,33.1996481,-116.1551345,180.0,line-a-e02,33.1998075,-116.1549449,180.0,line-a-e03,33.1999669,-116.1547554,180.0,line-a-e04,33.2001263,-116.1545658,180.0,2026-08-17T14:00:48Z,dipole-dipole,1,5,0.812,985.8,198.120,7.118,0.00470,0.00110,0.00808;0.00688;0.00627;0.00638;0.00541;0.00458;0.00409;0.00296;0.00227;0.00176,
line-a-r00005,line-a,line-a-e01,,,,line-a-e02,33.1998075,-116.1549449,180.0,line-a-e03,33.1999669,-116.1547554,180.0,line-a-e04,33.2001263,-116.1545658,180.0,2026-08-17T14:01:00Z,dipole-dipole,1,8,0.810,987.2,201.519,10.376,0.00494,0.00090,0.00813;0.00733;0.00705;0.00606;0.00589;0.00487;0.00367;0.00319;0.00230;0.00172,
line-a-r00006,line-a,line-a-e01,33.1996481,-116.1551345,180.0,line-a-e02,33.1998075,-116.1549449,180.0,line-a-e03,33.1999669,-116.1547554,180.0,line-a-e04,33.2001263,-116.1545658,180.0,2026-08-17T14:01:12Z,dipole-dipole,1,6,0.727,1100.4,191.103,7.336,0.00572,0.00090,0.00947;0.00846;0.00867;0.00720;0.00641;0.00557;0.00444;0.00368;0.00294;0.00202,
line-a-r00007,line-a,line-a-e01,33.1996481,-116.1551345,180.0,line-a-e02,33.1998075,-116.1549449,180.0,line-a-e04,33.2001263,-116.1545658,180.0,line-a-e05,33.2002857,-116.1543762,180.0,2026-08-17T14:01:24Z,dipole-dipole,2,5,0.903,885.9,-99.199,6.299,0.00397,0.00088,0.00662;0.00610;0.00547;0.00488;0.00440;0.00336;0.00295;0.00266;0.00189;0.00144,
line-a-r00008,line-a,line-a-e01,33.1996481,-116.1551345,180.0,line-a-e02,33.1998075,-116.1549449,180.0,line-a-e04,33.2001263,-116.1545658,180.0,line-a-e05,33.2002857,-116.1543762,180.0,2026-08-17T14:01:36Z,dipole-dipole,2,6,0.733,1092.0,-294.719,6.516,0.00519,0.00100,0.00808;0.00791;0.00696;0.00640;0.00612;0.00522;0.00388;0.00318;0.00266;0.00189,
line-a-r00009,line-a,line-a-e01,33.1996481,-116.1551345,180.0,line-a-e02,33.1998075,-116.1549449,180.0,line-a-e04,33.2001263,-116.1545658,180.0,line-a-e05,33.2002857,-116.1543762,180.0,2026-08-17T14:01:48Z,dipole-dipole,2,5,0.806,992.2,202.810,8.565,0.00443,0.00086,0.00716;0.00705;0.00627;0.00579;0.00476;0.00436;0.00379;0.00275;0.00211;0.00158,
line-a-r00010,line-a,line-a-e01,33.1996481,-116.1551345,180.0,line-a-e02,33.1998075,-116.1549449,180.0,line-a-e04,33.2001263,-116.1545658,180.0,line-a-e05,33.2002857,-116.1543762,180.0,2026-08-17T14:02:00Z,dipole-dipole,2,5,0.752,1063.4,201.445,9.035,0.00547,0.00139,0.00762;0.00841;0.00790;0.00591;0.00585;0.00526;0.00427;0.00349;0.00289;0.00188,
