id,line_id,tx1_id,tx1_lat,tx1_lon,tx1_alt,tx2_id,tx2_lat,tx2_lon,tx2_alt,rx1_id,rx1_lat,rx1_lon,rx1_alt,rx2_id,rx2_lat,rx2_lon,rx2_alt,timestamp,array_type,symmetry,stacks,input_current,contact_resistance,apparent_resistivity,apparent_resistivity_err,chargeability,chargeability_err,decay_curve,qc_review
line-b-r00001,line-b,line-b-e01,33.1990106,-116.1543761,180.0,line-b-e02,33.1991700,-116.1541865,180.0,line-b-e03,33.1993294,-116.1539970,180.0,line-b-e04,33.1994888,-116.1538074,180.0,2026-08-18T14:00:12Z,dipole-dipole,1,6,0.477,1678.7,198.314,9.175,0.00667,0.00114,0.00984;0.01166;0.00988;0.00782;0.00735;0.00645;0.00505;0.00384;0.00315;0.00219,
line-b-r00002,line-b,line-b-e01,33.1990106,-116.1543761,180.0,line-b-e02,33.1991700,-116.1541865,180.0,line-b-e03,33.1993294,-116.1539970,180.0,line-b-e04,33.1994888,-116.1538074,180.0,2026-08-18T14:00:24Z,dipole-dipole,1,8,0.440,1816.7,197.958,8.727,0.00361,0.00109,0.00553;0.00505;0.00511;0.00423;0.00384;0.00326;0.00276;0.00203;0.00163;0.00138,
line-b-r00003,line-b,line-b-e01,33.1990106,-116.1543761,180.0,line-b-e02,33.1991700,-116.1541865,180.0,line-b-e03,33.1993294,-116.1539970,180.0,line-b-e04,33.1994888,-116.1538074,180.0,2026-08-18T14:00:36Z,dipole-dipole,1,4,0.443,1804.5,213.789,6.695,0.00380,0.00107,0.00625;0.00573;0.00541;0.00478;0.00418;0.00368;0.00283;0.00217;0.00208;0.00132,
line-b-r00004,line-b,line-b-e01,33.1990106,-116.1543761,180.0,line-b-e02,33.1991700,-116.1541865,180.0,line-b-e03,33.1993294,-116.1539970,180.0,line-b-e04,33.1994888,-116.1538074,180.0,2026-08-18T14:00:48Z,dipole-dipole,1,7,0.461,1734.9,200.876,9.602,0.00556,0.00106,0.00787;0.00832;0.00804;0.00661;0.00534;0.00525;0.00451;0.00328;0.00276;0.00188,
line-b-r00005,line-b,line-b-e01,33.1990106,-116.1543761,180.0,line-b-e02,33.1991700,-116.1541865,180.0,line-b-e03,33.1993294,-116.1539970,180.0,line-b-e04,33.1994888,-116.1538074,180.0,2026-08-18T14:01:00Z,dipole-dipole,1,6,0.420,1902.5,-166.827,6.507,0.00394,0.00111,0.00598;0.00605;0.00481;0.00453;0.00413;0.00385;0.00316;0.00248;0.00216;0.00149,
line-b-r00006,line-b,line-b-e01,33.1990106,-116.1543761,180.0,line-b-e02,33.1991700,-116.1541865,180.0,line-b-e03,33.1993294,-116.1539970,180.0,line-b-e04,33.1994888,-116.1538074,180.0,2026-08-18T14:01:12Z,dipole-dipole,1,6,0.514,1557.0,201.959,7.635,0.00510,0.00091,0.00774;0.00759;0.00676;0.00655;0.00524;0.00474;0.00404;0.00369;0.00237;0.00177,
line-b-r00007,line-b,line-b-e01,33.1990106,-116.1543761,180.0,line-b-e02,33.1991700,-116.1541865,180.0,line-b-e04,33.1994888,-116.1538074,180.0,line-b-e05,33.1996482,-116.1536178,180.0,2026-08-18T14:01:24Z,dipole-dipole,2,3,0.458,1745.7,209.195,7.706,0.00576,0.00117,0.00908;0.00882;0.00814;0.00683;0.00711;0.00568;0.00489;0.00375;0.00314;0.00202,
line-b-r00008,line-b,line-b-e01,33.1990106,-116.1543761,180.0,line-b-e02,33.1991700,-116.1541865,180.0,line-b-e04,33.1994888,-116.1538074,180.0,line-b-e05,33.1996482,-116.1536178,180.0,2026-08-18T14:01:36Z,dipole-dipole,2,6,0.478,1672.0,197.282,7.282,0.00525,0.00159,0.00853;0.00748;0.00694;0.00645;0.00602;0.00468;0.00407;0.00324;0.00247;0.00205,
line-b-r00009,line-b,line-b-e01,33.1990106,-116.1543761,180.0,line-b-e02,33.1991700,-116.1541865,180.0,line-b-e04,33.1994888,-116.1538074,180.0,line-b-e05,33.1996482,-116.1536178,180.0,2026-08-18T14:01:48Z,dipole-dipole,2,5,0.506,1579.5,189.439,7.711,0.00302,0.00111,0.00505;0.00488;0.00419;0.00337;0.00350;0.00274;0.00228;0.00208;0.00149;0.00102,
line-b-r00010,line-b,line-b-e01,33.1990106,-116.1543761,180.0,line-b-e02,33.1991700,-116.1541865,180.0,line-b-e04,33.1994888,-116.1538074,180.0,line-b-e05,33.1996482,-116.1536178,180.0,2026-08-18T14:02:00Z,dipole-dipole,2,5,0.529,1512.3,212.744,9.207,0.00502,0.00106,0.00823;0.00750;0.00682;0.00659;0.00542;0.00487;0.00362;0.00319;0.00242;0.00189,
line-b-r00011,line-b,line-b-e01,33.1990106,-116.1543761,180.0,line-b-e02,33.1991700,-116.1541865,180.0,line-b-e04,33.1994888,-116.1538074,180.0,line-b-e05,33.1996482,-116.1536178,180.0,2026-08-18T14:02:12Z,dipole-dipole,2,3,0.561,1426.0,-240.899,8.269,0.00544,0.00104,0.00873;0.00763;0.00729;0.00675;0.00588;0.00519;0.00447;0.00336;0.00262;0.00191,
line-b-r00012,line-b,line-b-e01,33.1990106,-116.1543761,180.0,line-b-e02,33.1991700,-116.1541865,180.0,line-b-e04,33.1994888,-116.1538074,180.0,line-b-e05,33.1996482,-116.1536178,180.0,2026-08-18T14:02:24Z,dipole-dipole,2,5,0.453,1767.4,194.984,5.186,0.00460,0.00118,0.00746;0.00686;0.00631;0.00531;0.00532;0.00399;0.00374;0.00285;0.00227;0.00154,
line-b-r00013,line-b,line-b-e01,33.1990106,-116.1543761,180.0,line-b-e02,33.1991700,-116.1541865,180.0,line-b-e04,33.1994888,-116.1538074,180.0,line-b-e05,33.1996482,-116.1536178,180.0,2026-08-18T14:02:36Z,dipole-dipole,2,8,0.496,1612.3,209.031,10.342,0.00440,0.00085,0.00744;0.00674;0.00639;0.00534;0.00506;0.00425;0.00357;0.00289;0.00229;0.00156,
