id,line_id,tx1_id,tx1_lat,tx1_lon,tx1_alt,tx2_id,tx2_lat,tx2_lon,tx2_alt,rx1_id,rx1_lat,rx1_lon,rx1_alt,rx2_id,rx2_lat,rx2_lon,rx2_alt,timestamp,array_type,symmetry,stacks,input_current,contact_resistance,apparent_resistivity,apparent_resistivity_err,chargeability,chargeability_err,decay_curve,qc_review
line-c-r00001,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e03,33.1986919,-116.1532386,180.0,line-c-e04,33.1988512,-116.1530490,180.0,2026-08-19T14:00:12Z,dipole-dipole,1,8,1.384,578.2,206.538,10.174,0.00403,0.00107,0.00583;0.00556;0.00510;0.00522;0.00426;0.00337;0.00331;0.00266;0.00199;0.00146,
line-c-r00002,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e03,33.1986919,-116.1532386,180.0,line-c-e04,33.1988512,-116.1530490,180.0,2026-08-19T14:00:24Z,dipole-dipole,1,3,1.603,499.0,193.977,6.289,0.00529,0.00104,0.00867;0.00825;0.00670;0.00677;0.00570;0.00470;0.00416;0.00315;0.00258;0.00179,
line-c-r00003,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e03,33.1986919,-116.1532386,180.0,line-c-e04,33.1988512,-116.1530490,180.0,2026-08-19T14:00:36Z,dipole-dipole,1,8,1.759,454.8,210.489,7.703,0.00422,0.00108,0.00680;0.00660;0.00607;0.00540;0.00475;0.00364;0.00302;0.00285;0.00194;0.00161,
line-c-r00004,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e03,33.1986919,-116.1532386,180.0,line-c-e04,33.1988512,-116.1530490,180.0,2026-08-19T14:00:48Z,dipole-dipole,1,4,1.399,571.7,198.053,9.690,0.00661,0.00099,0.00987;0.00980;0.00889;0.00818;0.00704;0.00661;0.00493;0.00378;0.00343;0.00246,
line-c-r00005,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e03,33.1986919,-116.1532386,180.0,line-c-e04,33.1988512,-116.1530490,180.0,2026-08-19T14:01:00Z,dipole-dipole,1,6,1.620,493.8,212.376,10.969,0.00615,0.00096,0.00994;0.00914;0.00854;0.00788;0.00669;0.00546;0.00466;0.00387;0.00309;0.00216,
line-c-r00006,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e03,33.1986919,-116.1532386,180.0,line-c-e04,33.1988512,-116.1530490,180.0,2026-08-19T14:01:12Z,dipole-dipole,1,4,1.474,542.8,199.960,5.948,0.00802,0.00083,0.01328;0.01272;0.01114;0.00934;0.00844;0.00797;0.00629;0.00560;0.00401;0.00278,
line-c-r00007,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e03,33.1986919,-116.1532386,180.0,line-c-e04,33.1988512,-116.1530490,180.0,2026-08-19T14:01:24Z,dipole-dipole,1,4,1.644,486.6,200.333,8.798,0.00444,0.00128,0.00839;0.00657;0.00687;0.00546;0.00408;0.00448;0.00389;0.00289;0.00226;0.00165,
line-c-r00008,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e04,33.1988512,-116.1530490,180.0,line-c-e05,33.1990106,-116.1528594,180.0,2026-08-19T14:01:36Z,dipole-dipole,2,6,1.368,584.7,190.595,6.164,0.00702,0.00086,0.01057;0.01092;0.00957;0.00840;0.00867;0.00701;0.00566;0.00415;0.00342;0.00249,
line-c-r00009,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e04,33.1988512,-116.1530490,180.0,line-c-e05,33.1990106,-116.1528594,180.0,2026-08-19T14:01:48Z,dipole-dipole,2,8,1.514,528.5,208.236,7.469,0.00500,0.00100,0.00825;0.00825;0.00713;0.00580;0.00587;0.00439;0.00356;0.00337;0.00244;0.00174,
line-c-r00010,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e04,33.1988512,-116.1530490,180.0,line-c-e05,33.1990106,-116.1528594,180.0,2026-08-19T14:02:00Z,dipole-dipole,2,6,1.603,498.9,198.153,8.912,0.00574,0.00130,0.00922;0.00785;0.00759;0.00699;0.00685;0.00503;0.00466;0.00359;0.00322;0.00205,
line-c-r00011,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e04,33.1988512,-116.1530490,180.0,line-c-e05,33.1990106,-116.1528594,180.0,2026-08-19T14:02:12Z,dipole-dipole,2,8,1.589,503.4,179.343,7.808,0.00592,0.00111,0.00934;0.00905;0.00832;0.00735;0.00585;0.00548;0.00474;0.00365;0.00302;0.00199,
line-c-r00012,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e04,33.1988512,-116.1530490,180.0,line-c-e05,33.1990106,-116.1528594,180.0,2026-08-19T14:02:24Z,dipole-dipole,2,3,1.567,510.7,198.498,9.082,0.00495,0.00130,0.00799;0.00748;0.00661;0.00596;0.00551;0.00454;0.00395;0.00340;0.00218;0.00164,
line-c-r00013,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e04,33.1988512,-116.1530490,180.0,line-c-e05,33.1990106,-116.1528594,180.0,2026-08-19T14:02:36Z,dipole-dipole,2,3,1.585,504.6,202.550,7.636,0.00439,0.00105,0.00749;0.00612;0.00585;0.00535;0.00527;0.00438;0.00333;0.00316;0.00218;0.00150,
line-c-r00014,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e04,33.1988512,-116.1530490,180.0,line-c-e05,33.1990106,-116.1528594,180.0,2026-08-19T14:02:48Z,dipole-dipole,2,5,1.813,441.2,211.045,6.301,0.00549,0.00089,0.00898;0.00748;0.00675;0.00682;0.00581;0.00517;0.00426;0.00334;0.00262;0.00194,
line-c-r00015,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e04,33.1988512,-116.1530490,180.0,line-c-e05,33.1990106,-116.1528594,180.0,2026-08-19T14:03:00Z,dipole-dipole,2,6,1.428,560.1,198.215,7.074,0.00569,0.00089,0.00923;0.00876;0.00836;0.00735;0.00585;0.00509;0.00509;0.00354;0.00279;0.00201,
line-c-r00016,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e05,33.1990106,-116.1528594,180.0,line-c-e06,33.1991700,-116.1526698,180.0,2026-08-19T14:03:12Z,dipole-dipole,3,5,1.397,572.6,206.349,8.270,0.00483,0.00089,0.00731;0.00751;0.00687;0.00607;0.00533;0.00449;0.00377;0.00329;0.00220;0.00169,
line-c-r00017,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e05,33.1990106,-116.1528594,180.0,line-c-e06,33.1991700,-116.1526698,180.0,2026-08-19T14:03:24Z,dipole-dipole,3,3,2.000,347.7,202.343,6.805,0.00311,0.00082,0.00489;0.00443;0.00423;0.00357;0.00340;0.00273;0.00242;0.00188;0.00158;0.00121,
line-c-r00018,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e05,33.1990106,-116.1528594,180.0,line-c-e06,33.1991700,-116.1526698,180.0,2026-08-19T14:03:36Z,dipole-dipole,3,7,2.000,377.1,196.897,5.576,0.00393,0.00124,0.00647;0.00557;0.00521;0.00464;0.00447;0.00348;0.00333;0.00235;0.00202;0.00140,
line-c-r00019,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e05,33.1990106,-116.1528594,180.0,line-c-e06,33.1991700,-116.1526698,180.0,2026-08-19T14:03:48Z,dipole-dipole,3,4,1.345,595.0,203.068,8.361,0.00650,0.00097,0.01045;0.00958;0.00916;0.00743;0.00731;0.00626;0.00504;0.00378;0.00325;0.00257,
line-c-r00020,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e05,33.1990106,-116.1528594,180.0,line-c-e06,33.1991700,-116.1526698,180.0,2026-08-19T14:04:00Z,dipole-dipole,3,7,1.343,595.5,207.600,7.665,0.00370,0.00098,0.00598;0.00548;0.00523;0.00499;0.00379;0.00373;0.00299;0.00239;0.00183;0.00136,
line-c-r00021,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e05,33.1990106,-116.1528594,180.0,line-c-e06,33.1991700,-116.1526698,180.0,2026-08-19T14:04:12Z,dipole-dipole,3,8,1.440,555.4,183.158,8.230,0.00569,0.00087,0.00931;0.00850;0.00839;0.00717;0.00583;0.00546;0.00445;0.00344;0.00288;0.00204,
line-c-r00022,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e06,33.1991700,-116.1526698,180.0,line-c-e07,33.1993294,-116.1524803,180.0,2026-08-19T14:04:24Z,dipole-dipole,4,3,1.467,545.5,200.673,7.054,0.00484,0.00111,0.00849;0.00700;0.00747;0.00616;0.00493;0.00453;0.00437;0.00318;0.00231;0.00177,
line-c-r00023,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e06,33.1991700,-116.1526698,180.0,line-c-e07,33.1993294,-116.1524803,180.0,2026-08-19T14:04:36Z,dipole-dipole,4,7,1.609,497.2,211.658,7.361,0.00585,0.00108,0.00992;0.00779;0.00762;0.00707;0.00628;0.00539;0.00491;0.00386;0.00296;0.00203,
line-c-r00024,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e06,33.1991700,-116.1526698,180.0,line-c-e07,33.1993294,-116.1524803,180.0,2026-08-19T14:04:48Z,dipole-dipole,4,8,1.568,510.1,192.023,6.422,0.00648,0.00078,0.01159;0.00933;0.00864;0.00887;0.00677;0.00619;0.00512;0.00404;0.00320;0.00218,
line-c-r00025,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e06,33.1991700,-116.1526698,180.0,line-c-e07,33.1993294,-116.1524803,180.0,2026-08-19T14:05:00Z,dipole-dipole,4,7,1.876,426.5,194.392,7.340,0.00587,0.00163,0.00992;0.00771;0.00834;0.00731;0.00578;0.00539;0.00412;0.00356;0.00284;0.00193,
line-c-r00026,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e06,33.1991700,-116.1526698,180.0,line-c-e07,33.1993294,-116.1524803,180.0,2026-08-19T14:05:12Z,dipole-dipole,4,5,1.212,660.1,192.722,9.009,0.00514,0.00094,0.00823;0.00889;0.00616;0.00666;0.00555;0.00493;0.00432;0.00337;0.00224;0.00181,
line-c-r00027,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e06,33.1991700,-116.1526698,180.0,line-c-e07,33.1993294,-116.1524803,180.0,2026-08-19T14:05:24Z,dipole-dipole,4,8,1.299,615.9,197.618,6.879,0.00475,0.00122,0.00776;0.00731;0.00671;0.00608;0.00521;0.00451;0.00310;0.00345;0.00252;0.00171,
line-c-r00028,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e07,33.1993294,-116.1524803,180.0,line-c-e08,33.1994888,-116.1522907,180.0,2026-08-19T14:05:36Z,dipole-dipole,5,7,1.598,500.6,202.032,7.481,0.00470,0.00118,0.00792;0.00717;0.00640;0.00569;0.00510;0.00431;0.00326;0.00275;0.00215;0.00160,
line-c-r00029,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e07,33.1993294,-116.1524803,180.0,line-c-e08,33.1994888,-116.1522907,180.0,2026-08-19T14:05:48Z,dipole-dipole,5,3,1.486,538.4,188.400,7.645,0.00450,0.00132,0.00678;0.00624;0.00604;0.00547;0.00515;0.00413;0.00356;0.00295;0.00227;0.00154,
line-c-r00030,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e07,33.1993294,-116.1524803,180.0,line-c-e08,33.1994888,-116.1522907,180.0,2026-08-19T14:06:00Z,dipole-dipole,5,4,1.928,415.0,-196.315,7.930,0.00532,0.00095,0.00844;0.00787;0.00752;0.00658;0.00623;0.00475;0.00425;0.00366;0.00263;0.00173,
line-c-r00031,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e07,33.1993294,-116.1524803,180.0,line-c-e08,33.1994888,-116.1522907,180.0,2026-08-19T14:06:12Z,dipole-dipole,5,3,1.529,523.3,204.863,8.545,0.00331,0.00080,0.00575;0.00483;0.00463;0.00361;0.00355;0.00319;0.00245;0.00234;0.00149;0.00106,
line-c-r00032,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e07,33.1993294,-116.1524803,180.0,line-c-e08,33.1994888,-116.1522907,180.0,2026-08-19T14:06:24Z,dipole-dipole,5,7,1.646,486.2,197.113,7.590,0.00424,0.00066,0.00698;0.00692;0.00579;0.00471;0.00449;0.00396;0.00342;0.00290;0.00212;0.00146,
line-c-r00033,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e07,33.1993294,-116.1524803,180.0,line-c-e08,33.1994888,-116.1522907,180.0,2026-08-19T14:06:36Z,dipole-dipole,5,7,1.527,523.9,212.402,8.447,0.00474,0.00111,0.00725;0.00693;0.00696;0.00606;0.00542;0.00434;0.00387;0.00295;0.00216;0.00162,
line-c-r00034,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e07,33.1993294,-116.1524803,180.0,line-c-e08,33.1994888,-116.1522907,180.0,2026-08-19T14:06:48Z,dipole-dipole,5,5,1.860,430.2,203.317,10.058,0.00564,0.00128,0.00963;0.00899;0.00728;0.00671;0.00735;0.00538;0.00427;0.00361;0.00287;0.00181,
line-c-r00035,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e07,33.1993294,-116.1524803,180.0,line-c-e08,33.1994888,-116.1522907,180.0,2026-08-19T14:07:00Z,dipole-dipole,5,6,1.527,524.0,204.659,7.045,0.00447,0.00123,0.00693;0.00624;0.00595;0.00545;0.00524;0.00377;0.00339;0.00301;0.00219;0.00176,
line-c-r00036,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e08,33.1994888,-116.1522907,180.0,line-c-e09,33.1996482,-116.1521011,180.0,2026-08-19T14:07:12Z,dipole-dipole,6,3,1.401,570.9,188.642,7.777,0.00534,0.00097,0.00869;0.00784;0.00798;0.00696;0.00614;0.00453;0.00419;0.00322;0.00259;0.00179,
line-c-r00037,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e08,33.1994888,-116.1522907,180.0,line-c-e09,33.1996482,-116.1521011,180.0,2026-08-19T14:07:24Z,dipole-dipole,6,6,1.726,463.6,195.211,9.387,0.00372,0.00086,0.00558;0.00522;0.00519;0.00457;0.00409;0.00322;0.00288;0.00229;0.00177;0.00123,
line-c-r00038,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e08,33.1994888,-116.1522907,180.0,line-c-e09,33.1996482,-116.1521011,180.0,2026-08-19T14:07:36Z,dipole-dipole,6,6,1.285,622.5,203.419,7.721,0.00503,0.00102,0.00712;0.00721;0.00644;0.00569;0.00606;0.00509;0.00380;0.00304;0.00272;0.00168,
line-c-r00039,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e08,33.1994888,-116.1522907,180.0,line-c-e09,33.1996482,-116.1521011,180.0,2026-08-19T14:07:48Z,dipole-dipole,6,5,1.656,483.1,194.433,5.961,0.00462,0.00131,0.00771;0.00673;0.00689;0.00565;0.00461;0.00398;0.00396;0.00325;0.00214;0.00179,
line-c-r00040,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e08,33.1994888,-116.1522907,180.0,line-c-e09,33.1996482,-116.1521011,180.0,2026-08-19T14:08:00Z,dipole-dipole,6,4,1.530,523.0,207.082,6.692,0.00459,0.00138,0.00743;0.00694;0.00617;0.00541;0.00506;0.00467;0.00367;0.00283;0.00227;0.00169,
line-c-r00041,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e08,33.1994888,-116.1522907,180.0,line-c-e09,33.1996482,-116.1521011,180.0,2026-08-19T14:08:12Z,dipole-dipole,6,8,1.352,591.7,188.461,7.031,0.00550,0.00110,0.00844;0.00858;0.00786;0.00717;0.00559;0.00578;0.00456;0.00339;0.00272;0.00166,
line-c-r00042,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e08,33.1994888,-116.1522907,180.0,line-c-e09,33.1996482,-116.1521011,180.0,2026-08-19T14:08:24Z,dipole-dipole,6,4,1.688,474.1,208.460,7.408,0.00487,0.00114,0.00801;0.00691;0.00750;0.00603;0.00627;0.00452;0.00382;0.00316;0.00257;0.00171,
line-c-r00043,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e09,33.1996482,-116.1521011,180.0,line-c-e10,33.1998076,-116.1519115,180.0,2026-08-19T14:08:36Z,dipole-dipole,7,4,1.390,575.7,190.126,6.699,0.00297,0.00097,0.00532;0.00486;0.00421;0.00370;0.00316;0.00273;0.00243;0.00188;0.00144;0.00095,
line-c-r00044,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e09,33.1996482,-116.1521011,180.0,line-c-e10,33.1998076,-116.1519115,180.0,2026-08-19T14:08:48Z,dipole-dipole,7,5,1.635,489.2,211.257,8.838,0.00535,0.00119,0.00919;0.00848;0.00752;0.00672;0.00538;0.00536;0.00386;0.00369;0.00282;0.00200,
line-c-r00045,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e09,33.1996482,-116.1521011,180.0,line-c-e10,33.1998076,-116.1519115,180.0,2026-08-19T14:09:00Z,dipole-dipole,7,4,1.377,581.1,207.384,7.125,0.00540,0.00126,0.00927;0.00738;0.00706;0.00687;0.00550;0.00551;0.00392;0.00332;0.00269;0.00212,
line-c-r00046,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e09,33.1996482,-116.1521011,180.0,line-c-e10,33.1998076,-116.1519115,180.0,2026-08-19T14:09:12Z,dipole-dipole,7,3,1.184,675.8,188.390,8.346,0.00367,0.00101,0.00520;0.00526;0.00551;0.00399;0.00401;0.00335;0.00301;0.00220;0.00180;0.00133,
line-c-r00047,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e09,33.1996482,-116.1521011,180.0,line-c-e10,33.1998076,-116.1519115,180.0,2026-08-19T14:09:24Z,dipole-dipole,7,7,1.338,597.8,188.674,8.400,0.00616,0.00133,0.00957;0.00882;0.00923;0.00803;0.00660;0.00601;0.00502;0.00377;0.00296;0.00219,
line-c-r00048,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e09,33.1996482,-116.1521011,180.0,line-c-e10,33.1998076,-116.1519115,180.0,2026-08-19T14:09:36Z,dipole-dipole,7,5,1.436,557.1,210.551,6.381,0.00446,0.00092,0.00659;0.00650;0.00621;0.00564;0.00468;0.00406;0.00386;0.00302;0.00207;0.00172,
line-c-r00049,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e09,33.1996482,-116.1521011,180.0,line-c-e10,33.1998076,-116.1519115,180.0,2026-08-19T14:09:48Z,dipole-dipole,7,5,1.372,582.9,209.983,12.975,0.00605,0.00104,0.01056;0.00850;0.00819;0.00705;0.00640;0.00568;0.00457;0.00413;0.00306;0.00223,
line-c-r00050,line-c,line-c-e01,33.1983731,-116.1536178,180.0,line-c-e02,33.1985325,-116.1534282,180.0,line-c-e10,33.1998076,-116.1519115,180.0,line-c-e11,33.1999670,-116.1517219,180.0,2026-08-19T14:10:00Z,dipole-dipole,8,7,1.380,579.6,204.796,7.597,0.00664,0.00116,0.01068;0.00930;0.00881;0.00824;0.00751;0.00541;0.00557;0.00443;0.00286;0.00223,
