id,line_id,tx1_id,tx1_lat,tx1_lon,tx1_alt,tx2_id,tx2_lat,tx2_lon,tx2_alt,rx1_id,rx1_lat,rx1_lon,rx1_alt,rx2_id,rx2_lat,rx2_lon,rx2_alt,timestamp,array_type,symmetry,stacks,input_current,contact_resistance,apparent_resistivity,apparent_resistivity_err,chargeability,chargeability_err,decay_curve,qc_review
line-d-r00001,line-d,line-d-e01,33.1977355,-116.1528594,180.0,line-d-e02,33.1978949,-116.1526698,180.0,line-d-e03,33.1980543,-116.1524802,180.0,line-d-e04,33.1982137,-116.1522906,180.0,2026-08-20T14:00:12Z,dipole-dipole,1,6,1.429,559.9,205.728,6.097,0.00557,0.00126,0.01003;0.00893;0.00725;0.00757;0.00666;0.00519;0.00445;0.00330;0.00260;0.00201,
line-d-r00002,line-d,line-d-e01,33.1977355,-116.1528594,180.0,line-d-e02,33.1978949,-116.1526698,180.0,line-d-e03,33.1980543,-116.1524802,180.0,line-d-e04,33.1982137,-116.1522906,180.0,2026-08-20T14:00:24Z,dipole-dipole,1,8,1.506,531.2,204.377,7.418,0.00503,0.00095,0.00795;0.00738;0.00677;0.00604;0.00590;0.00482;0.00394;0.00327;0.00236;0.00193,
line-d-r00003,line-d,line-d-e01,33.1977355,-116.1528594,180.0,line-d-e02,33.1978949,-116.1526698,180.0,line-d-e03,33.1980543,-116.1524802,180.0,line-d-e04,33.1982137,-116.1522906,180.0,2026-08-20T14:00:36Z,dipole-dipole,1,8,1.513,528.8,190.938,6.129,0.00506,0.00069,0.00815;0.00720;0.00693;0.00649;0.00579;0.00552;0.00379;0.00303;0.00239;0.00171,
line-d-r00004,line-d,line-d-e01,33.1977355,-116.1528594,180.0,line-d-e02,33.1978949,-116.1526698,180.0,line-d-e03,33.1980543,-116.1524802,180.0,line-d-e04,33.1982137,-116.1522906,180.0,2026-08-20T14:00:48Z,dipole-dipole,1,3,1.990,402.0,205.238,7.267,0.00321,0.00082,0.00530;0.00452;0.00417;0.00402;0.00357;0.00304;0.00270;0.00219;0.00157;0.00109,
line-d-r00005,line-d,line-d-e01,33.1977355,-116.1528594,180.0,line-d-e02,33.1978949,-116.1526698,180.0,line-d-e03,33.1980543,-116.1524802,180.0,line-d-e04,33.1982137,-116.1522906,180.0,2026-08-20T14:01:00Z,dipole-dipole,1,8,1.590,503.1,207.049,7.795,0.00403,0.00104,0.00655;0.00565;0.00563;0.00503;0.00467;0.00413;0.00325;0.00277;0.00197;0.00134,
line-d-r00006,line-d,line-d-e01,33.1977355,-116.1528594,180.0,line-d-e02,33.1978949,-116.1526698,180.0,line-d-e03,33.1980543,-116.1524802,180.0,line-d-e04,33.1982137,-116.1522906,180.0,2026-08-20T14:01:12Z,dipole-dipole,1,5,1.271,629.6,205.649,8.682,0.00605,0.00126,0.00981;0.00892;0.00838;0.00823;0.00600;0.00569;0.00543;0.00388;0.00279;0.00190,
line-d-r00007,line-d,line-d-e01,33.1977355,-116.1528594,180.0,line-d-e02,33.1978949,-116.1526698,180.0,line-d-e03,33.1980543,-116.1524802,180.0,line-d-e04,33.1982137,-116.1522906,180.0,2026-08-20T14:01:24Z,dipole-dipole,1,5,1.370,583.8,213.325,7.184,0.00571,0.00136,0.00902;0.00790;0.00788;0.00693;0.00591;0.00522;0.00470;0.00357;0.00290;0.00187,
line-d-r00008,line-d,line-d-e01,33.1977355,-116.1528594,180.0,line-d-e02,33.1978949,-116.1526698,180.0,line-d-e04,33.1982137,-116.1522906,180.0,line-d-e05,33.1983731,-116.1521011,180.0,2026-08-20T14:01:36Z,dipole-dipole,2,3,1.602,499.4,197.963,8.627,0.00452,0.00088,0.00672;0.00650;0.00617;0.00602;0.00488;0.00436;0.00367;0.00320;0.00235;0.00163,
line-d-r00009,line-d,line-d-e01,33.1977355,-116.1528594,180.0,line-d-e02,33.1978949,-116.1526698,180.0,line-d-e04,33.1982137,-116.1522906,180.0,line-d-e05,33.1983731,-116.1521011,180.0,2026-08-20T14:01:48Z,dipole-dipole,2,8,1.393,574.1,193.970,7.099,0.00533,0.00114,0.00804;0.00867;0.00727;0.00691;0.00636;0.00501;0.00396;0.00342;0.00248;0.00189,
line-d-r00010,line-d,line-d-e01,33.1977355,-116.1528594,180.0,line-d-e02,33.1978949,-116.1526698,180.0,line-d-e04,33.1982137,-116.1522906,180.0,line-d-e05,33.1983731,-116.1521011,180.0,2026-08-20T14:02:00Z,dipole-dipole,2,6,1.819,439.9,198.011,8.580,0.00774,0.00083,0.01292;0.01154;0.01150;0.00858;0.00851;0.00756;0.00629;0.00522;0.00384;0.00302,
line-d-r00011,line-d,line-d-e01,33.1977355,-116.1528594,180.0,line-d-e02,33.1978949,-116.1526698,180.0,line-d-e04,33.1982137,-116.1522906,180.0,line-d-e05,33.1983731,-116.1521011,180.0,2026-08-20T14:02:12Z,dipole-dipole,2,7,1.492,536.0,195.908,7.967,0.00331,0.00143,0.00506;0.00444;0.00453;0.00405;0.00358;0.00315;0.00276;0.00212;0.00159;0.00105,
line-d-r00012,line-d,line-d-e01,33.1977355,-116.1528594,180.0,line-d-e02,33.1978949,-116.1526698,180.0,line-d-e04,33.1982137,-116.1522906,180.0,line-d-e05,33.1983731,-116.1521011,180.0,2026-08-20T14:02:24Z,dipole-dipole,2,5,1.853,431.7,193.986,10.303,0.00511,0.00099,0.00751;0.00689;0.00731;0.00623;0.00602;0.00499;0.00392;0.00321;0.00231;0.00178,
